pc,count
0x801a34,1
0x801a38,1
0x801a3c,1
0x801a40,1
0x801a44,1
0x801a48,1
0x801a4c,1
0x801a50,1
0x801a54,1
0x801a58,1
0x801a5c,1
0x801a60,1
0x801a64,1
0x801a68,1
0x801a6c,1
0x801a70,1
0x801a74,1
0x801a78,1
0x801a7c,1
0x801a80,1
0x801a84,1
0x801a88,1
0x801a8c,1
0x801a90,1
0x801a94,1
0x801a98,1
0x801a9c,1
0x801aa0,1
0x801aa4,1
0x801aa8,1
0x801aac,1
0x801ab0,1
0x801ab4,1
0x801ab8,1
0x801abc,1
0x801ac0,1
0x801b0c,1
0x801b10,1
0x801b14,1
0x801b18,1
0x801b1c,1
0x801b20,1
0x801b24,48
0x801b28,48
0x801b2c,48
0x801b30,48
0x801b34,48
0x801b38,48
0x801b3c,48
0x801b40,48
0x801b44,192
0x801b48,192
0x801b4c,192
0x801b50,192
0x801b54,192
0x801b58,192
0x801b5c,192
0x801b60,192
0x801b64,192
0x801b68,48
0x801b6c,48
0x801b70,48
0x801b74,1
0x801b78,1
0x801b7c,1
0x801b80,1
0x801b84,1
0x801b88,1
0x801b8c,1
0x801b90,1
0x801b94,1
0x801b98,1
0x801b9c,1
0x801ba0,1
0x801ba4,1
0x801ba8,1
0x801bac,1
0x801bb0,1
0x801bbc,1
0x801bc0,3
0x801bc4,3
0x801bc8,3
0x801c34,1
0x801c38,1
0x801c3c,1
0x801c40,1
0x801c44,1
0x801c48,1
0x801c4c,1
0x801c50,1
0x801c54,1
0x801c58,1
0x801c5c,1
0x801c60,1
0x801c64,1
0x801c68,1
0x801c6c,1
0x801c70,1
0x801cb4,1
0x801cb8,1
0x801cbc,1
0x801cc0,1
0x801cc4,1
0x801cc8,1
0x801ccc,1
0x801cd0,1
0x801cd4,1
0x801cd8,1
0x801cdc,1
0x801ce0,1
0x801ce4,1
0x801ce8,1
0x801cec,1
0x801cf0,1
0x801cf4,1
0x801cf8,1
0x801cfc,1
0x801d00,1
0x801d04,1
0x801d08,1
0x801d0c,1
0x801d10,1
0x801d14,1
0x801d18,1
0x801d1c,1
0x801d20,1
0x801d24,1
0x801d28,1
0x801d2c,1
0x801d30,1
0x801d34,1
0x801dbc,1
0x801dc0,1
0x801dc4,1
0x801dc8,1
0x801dcc,1
0x801dd0,1
0x801dd4,1
0x801dd8,1
0x801ddc,1
0x801de0,1
0x801de4,1
0x801de8,1
0x801dec,1
0x801df0,1
0x801df4,1
0x801df8,1
0x801dfc,1
0x801e00,1
0x801e80,1
0x801e84,1
0x801e88,1
0x801e8c,1
0x801e90,1
0x801e94,1
0x801ea8,1
0x801eac,1
0x801eb0,1
0x801eb4,1
0x801eb8,1
0x801ebc,2
0x801ec0,2
0x801ec4,2
0x801ec8,2
0x801ecc,2
0x801ed0,2
0x801ed4,2
0x801ed8,2
0x801edc,2
0x801ee0,2
0x801ee4,2
0x801ee8,2
0x801eec,2
0x801ef0,2
0x801ef4,2
0x801ef8,2
0x801efc,2
0x801f00,2
0x801f04,2
0x801f08,2
0x801f0c,2
0x801f10,2
0x801f14,2
0x801f18,2
0x801f1c,2
0x801f20,2
0x801f24,2
0x801f28,2
0x801f2c,2
0x801f30,2
0x801f34,2
0x801f38,2
0x801f3c,2
0x801f40,2
0x801f44,2
0x801f48,2
0x801f4c,2
0x801f50,2
0x801f54,2
0x801f58,2
0x801f5c,2
0x801f60,2
0x801f64,2
0x801f68,2
0x801f6c,2
0x801f70,2
0x801f84,2
0x801f88,2
0x801f8c,2
0x801f90,2
0x801f94,2
0x801f98,2
0x801f9c,2
0x801fa0,2
0x801fa4,2
0x801fa8,2
0x801fac,2
0x801fb0,2
0x801fb4,2
0x801fd4,2
0x802014,2
0x802018,2
0x80201c,2
0x802020,2
0x802024,2
0x802028,2
0x80202c,2
0x802030,2
0x802034,2
0x802038,2
0x80203c,2
0x802040,1
0x802044,1
0x802048,1
0x80204c,1
0x802050,1
0x802054,1
0x802058,1
0x80205c,1
0x802060,1
0x802064,1
0x802068,1
0x80206c,1
0x802070,1
0x802074,1
0x802078,1
0x80207c,1
0x802080,1
0x802084,1
0x802088,1
0x80208c,1
0x802098,1
0x80209c,1
0x8020c4,1
0x8020c8,1
0x8020cc,1
0x8020d0,1
0x8020d4,1
0x8020d8,1
0x8020dc,1
0x8020e0,1
0x8020e4,1
0x8020e8,1
0x8020f4,1
0x8020f8,1
0x8020fc,1
0x802100,1
0x802104,1
0x802108,1
0x802130,1
0x802134,1
0x802138,1
0x80213c,1
0x802140,1
0x802144,1
0x802148,1
0x802174,1
0x802178,1
0x80217c,1
0x802180,1
0x802184,1
0x802188,1
0x80218c,1
0x802190,1
0x802194,1
0x802198,1
0x80219c,1
0x8021a0,1
0x8021a4,1
0x8021c4,1
0x8021c8,1
0x8021cc,1
0x8021d0,1
0x802208,1
0x80220c,1
0x802210,1
0x802214,1
0x802218,1
0x80221c,1
0x802220,1
0x802224,5
0x802228,3
0x80222c,3
0x802230,3
0x802234,3
0x802238,3
0x80223c,3
0x802240,3
0x802244,3
0x802248,3
0x80224c,3
0x802250,3
0x802254,2
0x802258,5
0x80225c,5
0x802260,5
0x802264,5
0x802268,5
0x80226c,5
0x802270,5
0x802274,5
0x802278,5
0x80227c,5
0x802280,1
0x802284,1
0x802288,5
0x80228c,5
0x802290,5
0x802294,5
0x802298,5
0x80229c,5
0x8022a0,1
0x8022a4,1
0x8022a8,1
