pc,count
0x800af4,3
0x800af8,3
0x800afc,3
0x800b00,3
0x800b04,3
0x800b08,3
0x800b0c,3
0x800b10,3
0x800b14,3
0x800b18,3
0x800b1c,3
0x800b20,25165
0x800b24,25168
0x800b28,25168
0x800b2c,25168
0x800b30,25168
0x800b34,25168
0x800b38,25168
0x800b3c,25168
0x800b40,25168
0x800b44,25168
0x800b48,25168
0x800b4c,25168
0x800b50,25168
0x800b54,25168
0x800b58,25168
0x800b5c,25168
0x800b60,25168
0x800b64,25168
0x800b68,25168
0x800b6c,25168
0x800b70,25168
0x800b74,25168
0x800b78,25168
0x800b7c,910324
0x800b80,910324
0x800b84,910324
0x800b88,910324
0x800b8c,901449
0x800b90,901449
0x800b94,901449
0x800b98,901449
0x800b9c,901449
0x800ba0,901449
0x800ba4,16293
0x800ba8,16293
0x800bac,16293
0x800bb0,16293
0x800bb4,16293
0x800bb8,8875
0x800bbc,8875
0x800bc0,25168
0x800bc4,25168
0x800bc8,25168
0x800bcc,16293
0x800bd0,16293
0x800bd4,16293
0x800bd8,16293
0x800bdc,16293
0x800be0,16293
0x800be4,16293
0x800be8,16293
0x800bec,16293
0x800bf0,16293
0x800bf4,16293
0x800bf8,16293
0x800bfc,16293
0x800c00,16293
0x800c04,16293
0x800c08,16293
0x800c0c,8875
0x800c10,8875
0x800c14,8875
0x800c18,8875
0x800c1c,8875
0x800c20,8875
0x800c24,8875
0x800c28,8875
0x800c2c,8875
0x800c30,5184
0x800c34,5184
0x800c38,3637
0x800c3c,3637
0x800c40,3637
0x800c44,3637
0x800c48,3637
0x800c4c,3637
0x800c50,2701
0x800c54,2701
0x800c58,2701
0x800c5c,2701
0x800c60,2701
0x800c64,2701
0x800c68,2701
0x800c6c,2701
0x800c70,2701
0x800c74,2701
0x800c78,2701
0x800c7c,2701
0x800c84,5184
0x800c88,5184
0x800c8c,5184
0x800c90,5184
0x800c94,5184
0x800c98,5184
0x800c9c,5184
0x800ca0,5184
0x800ca4,5184
0x800ca8,5184
0x800cac,5184
0x800cb0,5184
0x800cb4,5184
0x800cb8,5184
0x800cbc,5184
0x800cc0,5184
0x800cc4,5184
0x800d0c,5182
0x800d10,5182
0x800d14,5182
0x800d18,5182
0x800d1c,5182
0x800d20,5182
0x800d24,5182
0x800d28,5182
0x800d2c,5182
0x800d30,5182
0x800d34,5182
0x800d38,5182
0x800d3c,5182
