pc,count
0x801598,52
0x80159c,52
0x8015a0,52
0x8015a4,52
0x8015a8,52
0x8015ac,52
0x8015b0,52
0x8015b4,52
0x8015b8,52
0x8015bc,52
0x8015c0,52
0x8015c4,52
0x8015c8,52
0x8015cc,52
0x8015d0,52
0x8015d4,52
0x8015d8,52
0x8015dc,52
0x8015e0,52
0x8015e8,1
0x8015ec,1
0x8015f0,1
0x8015f4,1
0x8015f8,1
0x8015fc,1
0x801600,1
0x801604,1
0x801608,1
0x80160c,1
0x801610,23
0x801614,23
0x801618,23
0x80161c,23
0x801620,23
0x801624,23
0x801628,23
0x80162c,23
0x801630,23
0x801634,23
0x801638,23
0x80163c,23
0x801640,23
0x801724,23
0x801728,23
0x80172c,23
0x801730,23
0x801734,23
0x801738,23
0x80173c,23
0x801740,23
0x801744,23
0x801748,23
0x80174c,23
0x801750,23
0x801754,23
0x801758,23
0x80175c,23
0x801760,22
0x801764,22
0x801844,22
0x801848,22
0x80184c,22
0x801850,22
0x801854,22
0x801858,22
0x80185c,22
0x801864,23
0x801868,23
0x80186c,23
0x801870,23
0x801874,22
0x801878,22
0x80187c,22
0x801c08,1
0x801c0c,1
0x801c10,1
0x801c14,1
0x801c18,1
0x801c1c,1
0x801c34,1
0x801c38,1
0x801c3c,1
0x801c40,1
0x801c44,1
0x801c48,1
0x801c4c,1
0x801c50,1
0x801c54,1
0x801c58,1
0x801c5c,1
0x801c60,1
0x801c64,1
0x801c68,1
0x801c6c,1
0x801c70,1
0x801c74,1
0x801c78,1
0x801c7c,1
0x801c80,1
0x801c84,1
0x801c88,1
0x801c8c,1
0x801c90,1
0x801c94,1
0x801c98,1
0x801c9c,1
0x801ca0,1
0x801ca4,1
0x801ca8,1
0x801cac,1
0x801cb0,1
0x801cb4,1
0x801cb8,1
0x801cbc,1
0x801cc0,1
0x801cc4,1
0x801cc8,1
0x801ccc,1
0x801cd0,1
0x801cd4,1
0x801cd8,1
0x801cdc,1
0x801ce0,1
0x801ce4,1
0x801ce8,1
0x801cec,1
0x801cf0,1
0x801cf4,1
0x801cf8,1
0x801cfc,1
0x801d00,1
0x801d04,1
0x801d08,1
0x801d0c,1
0x801d10,1
0x801d14,1
0x801d18,1
0x801d1c,1
0x801d20,1
0x801d24,1
0x801d28,1
0x801d2c,1
0x801d30,1
0x801d34,1
0x801d38,1
0x801d3c,1
0x801d40,1
0x801e9c,1
0x801ea0,1
0x801ea4,2
0x801ea8,2
0x801eac,2
0x801eb0,2
0x801eb4,2
0x801eb8,2
0x801ebc,2
0x801ec0,2
0x801ec4,2
0x801ec8,2
0x801ecc,2
0x801ed0,2
0x801ed4,2
0x801ed8,2
0x801edc,2
0x801ee0,2
0x801ee4,2
0x801ee8,2
0x801eec,2
0x801f70,2
0x801f74,2
0x801f78,2
0x801f7c,2
0x801f80,2
0x801f84,2
0x801f88,2
0x801f8c,2
0x801f90,2
0x801f94,2
0x801f98,2
0x801f9c,2
0x801fa0,2
0x801fa4,2
0x801fa8,2
0x801fac,2
0x801fb0,2
0x801fb4,2
0x801fb8,2
0x801fbc,2
0x801fc0,2
0x801fc4,2
0x801fc8,2
0x801fcc,2
0x801fd0,2
0x801fd4,2
0x801fd8,2
0x801fdc,2
0x801fe0,2
0x801fe4,2
0x801fe8,2
0x803500,1
0x803504,1
0x803508,1
0x803524,1
0x803528,1
0x80352c,1
0x803530,1
0x803534,1
0x803540,1
0x803544,1
0x803548,1
0x80354c,1
0x803550,1
0x803554,1
0x803558,1
0x80355c,1
0x803560,1
0x803564,1
0x803568,1
0x80356c,1
0x803570,1
0x803574,1
0x803578,1
0x80357c,1
0x803580,1
0x803584,1
0x803588,1
0x80358c,1
0x803590,1
0x803594,1
0x803598,1
0x80359c,1
0x8035a0,1
0x8035a4,1
0x8035a8,1
0x8035ac,1
0x8035b0,1
0x8035b4,1
0x8035b8,1
0x8035bc,1
0x8035c0,1
0x8035c4,1
0x8035c8,1
0x8035cc,1
0x8035d0,1
0x8035d4,1
0x8035d8,1
0x8035dc,1
0x8035e0,1
0x8035e4,1
0x8035e8,1
0x8035ec,1
0x8035f0,1
0x8035f4,1
0x8035f8,1
0x8035fc,1
0x803600,1
0x80360c,1
0x803610,1
0x803614,1
0x803618,1
0x80361c,1
0x803620,1
0x803624,256
0x803628,256
0x80362c,256
0x803630,256
0x803634,256
0x803638,256
0x80363c,256
0x803640,256
0x803644,1
0x803648,1
0x80364c,1
0x803650,1
0x803654,1
0x803658,1
0x80365c,9
0x803660,9
0x803664,9
0x803668,9
0x80366c,9
0x803670,9
0x803674,1
0x803678,1
0x80367c,1
0x803680,1
0x803684,1
0x803688,1
0x80368c,1
0x803690,1
0x803694,2
0x803698,2
0x80369c,2
0x8036a0,1
0x8036a4,1
0x8036a8,1
0x8036ac,1
0x8036b0,1
0x8036b4,1
0x8036b8,1
0x8036bc,1
0x8036c0,1
0x8036c4,1
0x8036c8,1
0x8036cc,1
0x8036d0,1
0x8036d4,12
0x8036d8,12
0x8036dc,12
0x8036e0,12
0x8036e4,12
0x8036e8,1
0x8036ec,1
0x8036f0,1
0x8036f4,1
0x8036f8,1
0x8036fc,64
0x803700,64
0x803704,256
0x803708,256
0x80370c,256
0x803710,256
0x803714,256
0x803718,256
0x80371c,256
0x803720,256
0x803724,256
0x803728,256
0x80372c,256
0x803730,64
0x803734,63
0x80373c,1
0x803740,1
0x803770,1
0x803774,1
0x803778,1
0x80377c,1
0x803780,1
0x803784,1
0x803788,1
0x80378c,1
0x803790,1
0x803794,1
0x803798,1
0x80379c,1
0x8037a0,1
0x8037a4,1
0x8037a8,1
0x8037ac,1
0x8037b0,1
0x8037b4,1
0x8037b8,1
0x8037bc,1
0x8037c0,1
0x8037c4,1
0x8037c8,1
0x8037cc,11
0x8037d0,11
0x8037d4,11
0x8037d8,11
0x8037dc,11
0x8037e0,11
0x8037e4,11
0x8037e8,2
0x8037ec,1
0x8037f0,1
0x8037f4,1
0x803834,9
0x803838,9
0x80383c,8
0x803840,8
0x803844,1
0x803848,1
0x80384c,1
0x803850,1
0x803854,1
0x803858,1
0x80385c,1
0x803860,1
0x803864,1
0x803868,154
0x80386c,154
0x803870,154
0x803874,154
0x803878,154
0x80387c,154
0x803880,154
0x803884,154
0x803888,154
0x80388c,154
0x803890,154
0x803894,154
0x803898,154
0x80389c,154
0x8038a0,154
0x8038a4,154
0x8038a8,154
0x8038ac,154
0x8038b0,154
0x8038b4,154
0x8038b8,154
0x8038bc,154
0x8038c0,154
0x8038c4,154
0x8038c8,154
0x8038cc,154
0x8038d0,154
0x8038d4,154
0x8038d8,154
0x8038dc,154
0x8038e0,1
0x8038e4,7
0x8038e8,2
0x8038ec,2
0x8038f0,2
0x8038f4,2
0x8038f8,2
0x8038fc,2
0x803900,2
0x803904,2
0x803908,2
0x80390c,2
0x803910,26
0x803914,26
0x803918,26
0x80391c,26
0x803920,26
0x803924,26
0x803928,26
0x80392c,26
0x803930,26
0x803934,26
0x803938,26
0x80393c,32
0x803940,32
0x803944,32
0x803948,32
0x80394c,32
0x803950,32
0x803954,32
0x803958,32
0x80395c,32
0x803960,32
0x803964,32
0x803968,32
0x80396c,32
0x803970,32
0x803974,32
0x803978,32
0x80397c,32
0x803980,32
0x803984,32
0x803988,32
0x80398c,32
0x803990,32
0x803994,32
0x803998,32
0x80399c,32
0x8039a0,32
0x8039a4,32
0x8039a8,32
0x8039ac,32
0x8039b0,32
0x8039b4,32
0x8039b8,32
0x8039bc,32
0x8039c0,32
0x8039c4,32
0x8039c8,32
0x8039cc,32
0x8039d0,32
0x8039d4,32
0x8039d8,32
0x8039dc,32
0x8039e0,26
0x8039e4,26
0x8039e8,26
0x8039ec,2
0x8039f0,1
0x803a2c,1
0x803a30,1
0x803a34,1
0x803a38,1
0x803a3c,1
0x803a40,1
0x803a44,1
0x803a48,1
0x803a4c,1
0x803a50,76
0x803a54,76
0x803a58,76
0x803a5c,76
0x803a60,76
0x803a64,76
0x803a68,76
0x803a6c,76
0x803a70,76
0x803a74,76
0x803a78,76
0x803a7c,76
0x803a80,76
0x803a84,76
0x803a88,76
0x803a8c,76
0x803a90,76
0x803a94,76
0x803a98,76
0x803a9c,76
0x803aa0,76
0x803aa4,76
0x803aa8,11
0x803aac,11
0x803ab0,11
0x803ab4,11
0x803ab8,11
0x803abc,1
0x803ac0,1
0x803ac8,1
0x803acc,1
0x803ad0,1
0x803ad4,1
0x803ad8,1
0x803adc,1
0x803ae0,1
0x803ae4,1
0x803ae8,1
0x803aec,1
0x803af0,1
0x803af4,1
0x803af8,1
0x803afc,1
0x803b00,1
0x803b04,1
0x804a30,1
0x804a34,1
0x804a38,1
0x804a3c,1
0x804a40,1
0x804a44,1
0x804a4c,1
0x804a50,1
0x804a54,1
0x804a58,1
0x804a5c,1
0x804a60,1
