era,arm,chunk,raw,compressed,ctx_bytes
2025-09-25_busy,prefix-512KiB,10,1048576,129882,524288
2025-09-25_busy,prefix-512KiB,11,1048576,141745,524288
2025-09-25_busy,prefix-512KiB,12,1048576,150151,524288
2025-09-25_busy,prefix-512KiB,13,1048576,144629,524288
2025-09-25_busy,prefix-2MiB+dict-fresh,0,1048576,127117,65536
2025-09-25_busy,prefix-2MiB+dict-fresh,1,1048576,135133,1114112
2025-09-25_busy,prefix-2MiB+dict-fresh,2,1048576,148216,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,3,1048576,121594,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,4,1048576,118239,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,5,1048576,123212,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,6,1048576,125499,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,7,1048576,118724,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,8,1048576,126962,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,9,1048576,129289,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,10,1048576,120312,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,11,1048576,132283,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,12,1048576,141657,2162688
2025-09-25_busy,prefix-2MiB+dict-fresh,13,1048576,136752,2162688
2025-09-25_busy,prefix-1MiB+dict-fresh,0,1048576,127117,65536
2025-09-25_busy,prefix-1MiB+dict-fresh,1,1048576,135133,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,2,1048576,152221,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,3,1048576,124616,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,4,1048576,121326,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,5,1048576,126788,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,6,1048576,128317,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,7,1048576,122237,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,8,1048576,129995,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,9,1048576,132262,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,10,1048576,123279,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,11,1048576,135752,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,12,1048576,145193,1114112
2025-09-25_busy,prefix-1MiB+dict-fresh,13,1048576,140021,1114112
2025-09-25_busy,prefix-512KiB+dict-fresh,0,1048576,127117,65536
2025-09-25_busy,prefix-512KiB+dict-fresh,1,1048576,136875,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,2,1048576,155448,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,3,1048576,128158,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,4,1048576,124441,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,5,1048576,130008,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,6,1048576,132135,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,7,1048576,125623,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,8,1048576,133027,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,9,1048576,136761,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,10,1048576,125906,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,11,1048576,138989,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,12,1048576,147044,589824
2025-09-25_busy,prefix-512KiB+dict-fresh,13,1048576,142597,589824
2025-09-25_busy,prefix-2MiB+dict-2025,0,1048576,129298,65536
2025-09-25_busy,prefix-2MiB+dict-2025,1,1048576,134746,1114112
2025-09-25_busy,prefix-2MiB+dict-2025,2,1048576,149067,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,3,1048576,121849,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,4,1048576,117951,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,5,1048576,123407,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,6,1048576,125575,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,7,1048576,118838,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,8,1048576,127317,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,9,1048576,129238,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,10,1048576,121297,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,11,1048576,132730,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,12,1048576,141986,2162688
2025-09-25_busy,prefix-2MiB+dict-2025,13,1048576,136363,2162688
2025-09-25_busy,prefix-1MiB+dict-2025,0,1048576,129298,65536
2025-09-25_busy,prefix-1MiB+dict-2025,1,1048576,134746,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,2,1048576,152712,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,3,1048576,124516,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,4,1048576,120942,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,5,1048576,127065,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,6,1048576,127971,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,7,1048576,122444,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,8,1048576,130307,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,9,1048576,132092,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,10,1048576,124701,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,11,1048576,135858,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,12,1048576,145183,1114112
2025-09-25_busy,prefix-1MiB+dict-2025,13,1048576,139435,1114112
2025-09-25_busy,prefix-512KiB+dict-2025,0,1048576,129298,65536
2025-09-25_busy,prefix-512KiB+dict-2025,1,1048576,136612,589824
2025-09-25_busy,prefix-512KiB+dict-2025,2,1048576,156342,589824
2025-09-25_busy,prefix-512KiB+dict-2025,3,1048576,128238,589824
2025-09-25_busy,prefix-512KiB+dict-2025,4,1048576,124112,589824
2025-09-25_busy,prefix-512KiB+dict-2025,5,1048576,130902,589824
2025-09-25_busy,prefix-512KiB+dict-2025,6,1048576,131757,589824
2025-09-25_busy,prefix-512KiB+dict-2025,7,1048576,126012,589824
